,0,1,2
72,63.0,64.0,-1.0
73,64.0,64.0,0.0
74,63.0,64.0,-1.0
75,63.0,64.0,-1.0
76,64.0,64.0,0.0
77,64.0,64.0,0.0
78,63.0,64.0,-1.0
79,64.0,64.0,0.0
80,62.0,62.0,0.0
81,62.0,62.0,0.0
82,62.0,62.0,0.0
83,62.0,62.0,0.0
84,62.0,62.0,0.0
85,62.0,62.0,0.0
86,62.0,62.0,0.0
87,63.0,62.0,1.0
88,62.0,62.0,0.0
89,63.0,62.0,1.0
90,62.0,62.0,0.0
91,63.0,62.0,1.0
92,63.0,62.0,1.0
93,62.0,62.0,0.0
94,62.0,62.0,0.0
95,62.0,62.0,0.0
96,62.0,62.0,0.0
97,63.0,62.0,1.0
98,63.0,62.0,1.0
99,63.0,62.0,1.0
100,47.0,43.0,4.0
101,44.0,43.0,1.0
102,46.0,43.0,3.0
103,43.0,43.0,0.0
104,42.0,43.0,-1.0
105,42.0,43.0,-1.0
106,45.0,43.0,2.0
107,42.0,43.0,-1.0
108,41.0,43.0,-2.0
109,45.0,43.0,2.0
110,45.0,46.0,-1.0
111,45.0,46.0,-1.0
112,46.0,46.0,0.0
113,46.0,46.0,0.0
114,45.0,46.0,-1.0
115,46.0,46.0,0.0
116,45.0,46.0,-1.0
117,42.0,46.0,-4.0
118,43.0,46.0,-3.0
119,45.0,46.0,-1.0
120,33.0,34.0,-1.0
121,33.0,34.0,-1.0
122,33.0,34.0,-1.0
123,35.0,34.0,1.0
124,38.0,34.0,4.0
125,34.0,34.0,0.0
126,35.0,34.0,1.0
127,34.0,34.0,0.0
128,34.0,34.0,0.0
129,37.0,34.0,3.0
130,31.0,31.0,0.0
131,31.0,31.0,0.0
132,32.0,31.0,1.0
133,31.0,31.0,0.0
134,34.0,31.0,3.0
135,33.0,31.0,2.0
136,31.0,31.0,0.0
137,29.0,31.0,-2.0
138,32.0,31.0,1.0
139,32.0,31.0,1.0
140,71.0,72.0,-1.0
141,71.0,72.0,-1.0
142,72.0,72.0,0.0
143,71.0,72.0,-1.0
144,71.0,72.0,-1.0
145,72.0,72.0,0.0
146,71.0,72.0,-1.0
147,70.0,72.0,-2.0
148,71.0,72.0,-1.0
149,72.0,72.0,0.0
150,65.0,66.0,-1.0
151,67.0,66.0,1.0
152,66.0,66.0,0.0
153,65.0,66.0,-1.0
154,67.0,66.0,1.0
155,67.0,66.0,1.0
156,65.0,66.0,-1.0
157,67.0,66.0,1.0
158,66.0,66.0,0.0
159,66.0,66.0,0.0
160,63.0,62.0,1.0
161,63.0,62.0,1.0
162,62.0,62.0,0.0
163,62.0,62.0,0.0
164,63.0,62.0,1.0
165,63.0,62.0,1.0
166,63.0,62.0,1.0
167,65.0,62.0,3.0
168,61.0,62.0,-1.0
169,62.0,62.0,0.0
170,63.0,62.0,1.0
171,63.0,62.0,1.0
172,62.0,62.0,0.0
173,60.0,62.0,-2.0
174,62.0,62.0,0.0
175,60.0,62.0,-2.0
176,61.0,62.0,-1.0
177,62.0,62.0,0.0
178,61.0,62.0,-1.0
179,62.0,62.0,0.0
180,61.0,62.0,-1.0
181,59.0,62.0,-3.0
182,63.0,62.0,1.0
183,64.0,62.0,2.0
184,61.0,62.0,-1.0
185,66.0,62.0,4.0
186,61.0,62.0,-1.0
187,62.0,62.0,0.0
188,58.0,62.0,-4.0
189,61.0,62.0,-1.0
190,58.0,58.0,0.0
191,58.0,58.0,0.0
192,57.0,58.0,-1.0
193,56.0,58.0,-2.0
194,57.0,58.0,-1.0
195,57.0,58.0,-1.0
196,59.0,58.0,1.0
197,59.0,58.0,1.0
198,58.0,58.0,0.0
199,57.0,58.0,-1.0
200,74.0,74.0,0.0
201,73.0,74.0,-1.0
202,73.0,74.0,-1.0
203,74.0,74.0,0.0
204,73.0,74.0,-1.0
205,74.0,74.0,0.0
206,73.0,74.0,-1.0
207,75.0,74.0,1.0
208,74.0,74.0,0.0
209,73.0,74.0,-1.0
210,72.0,72.0,0.0
211,73.0,72.0,1.0
212,72.0,72.0,0.0
213,72.0,72.0,0.0
214,72.0,72.0,0.0
215,72.0,72.0,0.0
216,73.0,72.0,1.0
217,73.0,72.0,1.0
218,71.0,72.0,-1.0
219,71.0,72.0,-1.0
220,72.0,72.0,0.0
221,73.0,72.0,1.0
222,72.0,72.0,0.0
223,72.0,72.0,0.0
224,72.0,72.0,0.0
225,72.0,72.0,0.0
226,73.0,72.0,1.0
227,73.0,72.0,1.0
228,73.0,72.0,1.0
229,73.0,72.0,1.0
230,63.0,62.0,1.0
231,64.0,62.0,2.0
232,62.0,62.0,0.0
233,62.0,62.0,0.0
234,62.0,62.0,0.0
235,62.0,62.0,0.0
236,62.0,62.0,0.0
237,63.0,62.0,1.0
238,62.0,62.0,0.0
239,61.0,62.0,-1.0
240,60.0,59.0,1.0
241,56.0,59.0,-3.0
242,60.0,59.0,1.0
243,62.0,59.0,3.0
244,58.0,59.0,-1.0
245,60.0,59.0,1.0
246,59.0,59.0,0.0
247,60.0,59.0,1.0
248,60.0,59.0,1.0
249,59.0,59.0,0.0
250,54.0,53.0,1.0
251,51.0,53.0,-2.0
252,53.0,53.0,0.0
253,55.0,53.0,2.0
254,56.0,53.0,3.0
255,55.0,53.0,2.0
256,53.0,53.0,0.0
257,52.0,53.0,-1.0
258,53.0,53.0,0.0
259,55.0,53.0,2.0
260,69.0,70.0,-1.0
261,71.0,70.0,1.0
262,70.0,70.0,0.0
263,70.0,70.0,0.0
264,71.0,70.0,1.0
265,70.0,70.0,0.0
266,71.0,70.0,1.0
267,70.0,70.0,0.0
268,70.0,70.0,0.0
269,70.0,70.0,0.0
270,59.0,60.0,-1.0
271,61.0,60.0,1.0
272,58.0,60.0,-2.0
273,59.0,60.0,-1.0
274,61.0,60.0,1.0
275,60.0,60.0,0.0
276,60.0,60.0,0.0
277,60.0,60.0,0.0
278,60.0,60.0,0.0
279,61.0,60.0,1.0
280,60.0,61.0,-1.0
281,60.0,61.0,-1.0
282,61.0,61.0,0.0
283,61.0,61.0,0.0
284,60.0,61.0,-1.0
285,59.0,61.0,-2.0
286,60.0,61.0,-1.0
